GPU: NVIDIA GeForce RTX 3080 Ti
GPU memory: 12038.19 MB
Epoch 4050/100000 ||  loss: 8.094641816569492e-05 ||  loss_test: 0.0003273259790148586 || lr: [0.001]
**************************************************
Epoch 4100/100000 ||  loss: 0.0003980635665357113 ||  loss_test: 0.0005424689734354615 || lr: [0.001]
**************************************************
Epoch 4150/100000 ||  loss: 0.0001156577272922732 ||  loss_test: 0.00036760789225809276 || lr: [0.001]
**************************************************
Epoch 4200/100000 ||  loss: 9.947730723069981e-05 ||  loss_test: 0.00033447446185164154 || lr: [0.001]
**************************************************
Epoch 4250/100000 ||  loss: 0.00012856241664849222 ||  loss_test: 0.0003648100537247956 || lr: [0.001]
**************************************************
Epoch 4300/100000 ||  loss: 0.00012109985982533544 ||  loss_test: 0.00034584375680424273 || lr: [0.001]
**************************************************
Epoch 4350/100000 ||  loss: 7.48540333006531e-05 ||  loss_test: 0.0003076533321291208 || lr: [0.001]
**************************************************
Epoch 4400/100000 ||  loss: 0.00012034401879645884 ||  loss_test: 0.000350357498973608 || lr: [0.001]
**************************************************
Epoch 4450/100000 ||  loss: 0.00010551628656685352 ||  loss_test: 0.00034593764576129615 || lr: [0.001]
**************************************************
Epoch 4500/100000 ||  loss: 8.548130426788703e-05 ||  loss_test: 0.0003046740894205868 || lr: [0.001]
**************************************************
Epoch 4550/100000 ||  loss: 0.0024728733114898205 ||  loss_test: 0.0020460064988583326 || lr: [0.001]
**************************************************
Epoch 4600/100000 ||  loss: 6.717968790326267e-05 ||  loss_test: 0.00028726321761496365 || lr: [0.001]
**************************************************
Epoch 4650/100000 ||  loss: 0.0003756314981728792 ||  loss_test: 0.0004753381363116205 || lr: [0.001]
**************************************************
Epoch 4700/100000 ||  loss: 5.90271083638072e-05 ||  loss_test: 0.000273377780104056 || lr: [0.001]
**************************************************
Epoch 4750/100000 ||  loss: 0.000472786370664835 ||  loss_test: 0.0007231521303765476 || lr: [0.001]
**************************************************
Epoch 4800/100000 ||  loss: 6.566605588886887e-05 ||  loss_test: 0.0002776165201794356 || lr: [0.001]
**************************************************
Epoch 4850/100000 ||  loss: 0.00012734952906612307 ||  loss_test: 0.0003249008732382208 || lr: [0.001]
**************************************************
Epoch 4900/100000 ||  loss: 0.0001578337833052501 ||  loss_test: 0.00037411018274724483 || lr: [0.001]
**************************************************
Epoch 4950/100000 ||  loss: 0.00010070356074720621 ||  loss_test: 0.000306389934848994 || lr: [0.001]
**************************************************
Epoch 5000/100000 ||  loss: 0.0006249485886655748 ||  loss_test: 0.00091627734946087 || lr: [0.001]
**************************************************
Epoch 5050/100000 ||  loss: 6.995094008743763e-05 ||  loss_test: 0.000269583921181038 || lr: [0.001]
**************************************************
Epoch 5100/100000 ||  loss: 0.0011860016966238618 ||  loss_test: 0.0009033185779117048 || lr: [0.001]
**************************************************
Epoch 5150/100000 ||  loss: 5.7048568123718724e-05 ||  loss_test: 0.00025417920551262796 || lr: [0.001]
**************************************************
Epoch 5200/100000 ||  loss: 0.0003814259252976626 ||  loss_test: 0.0005780907813459635 || lr: [0.001]
**************************************************
Epoch 5250/100000 ||  loss: 5.213080657995306e-05 ||  loss_test: 0.0002475754590705037 || lr: [0.001]
**************************************************
Epoch 5300/100000 ||  loss: 0.00018557604926172644 ||  loss_test: 0.000389826949685812 || lr: [0.001]
**************************************************
Epoch 5350/100000 ||  loss: 5.0187663873657584e-05 ||  loss_test: 0.00024161889450624585 || lr: [0.001]
**************************************************
Epoch 5400/100000 ||  loss: 0.002862227149307728 ||  loss_test: 0.00351350917480886 || lr: [0.001]
**************************************************
Epoch 5450/100000 ||  loss: 5.8581295888870955e-05 ||  loss_test: 0.0002484321594238281 || lr: [0.001]
**************************************************
Epoch 5500/100000 ||  loss: 7.058382470859215e-05 ||  loss_test: 0.0002702068304643035 || lr: [0.001]
**************************************************
